player_name,team,adj_offense,adj_defense,adj_overall,var,Offense Score,Defense Score,Overall Score,Offense Score,Defense Score,Overall Score,Disagreement Among Metrics,,,OL,OS,DL,DS,VL,VS,
Jimmy Butler III,Golden State Warriors,3.5,0.9,4.4,0.10,74,59,78,78,65,81,5%,,,,,,,,,
Amen Thompson,Houston Rockets,2.1,2.1,4.2,0.07,61,81,76,67,83,80,4%,,,,,,,,,
Dyson Daniels,Atlanta Hawks,1.6,2.6,4.1,0.17,55,89,76,63,91,79,8%,,,,,,,,,
Joel Embiid,Philadelphia 76ers,3.3,0.8,4.1,0.36,72,57,75,76,63,79,18%,,,,,,,,,
Franz Wagner,Orlando Magic,2.4,1.7,4.1,0.13,63,73,75,69,77,79,6%,,,,,,,,,
Cade Cunningham,Detroit Pistons,3.3,0.7,4.0,0.38,72,55,75,77,62,78,19%,,,,,,,,,
Tyrese Maxey,Philadelphia 76ers,3.8,0.1,4.0,0.69,77,44,74,81,52,78,34%,,,,,,,,,
Ausar Thompson,Detroit Pistons,0.5,3.4,3.9,0.53,45,105,74,54,104,78,27%,,,,,,,,,
Jalen Duren,Detroit Pistons,3.5,0.4,3.9,0.43,74,49,73,78,56,77,21%,,,,,,,,,
Kon Knueppel,Charlotte Hornets,2.8,1.0,3.9,0.66,67,61,73,73,67,77,33%,,,,,,,,,
Jarrett Allen,Cleveland Cavaliers,2.4,1.5,3.9,0.43,63,69,73,69,73,77,22%,,,,,,,,,
Isaiah Hartenstein,Oklahoma City Thunder,1.2,2.4,3.7,0.35,52,87,72,60,89,76,18%,,,,,,,,,
Evan Mobley,Cleveland Cavaliers,1.9,1.7,3.6,0.19,58,73,71,65,77,75,9%,,,,,,,,,
De'Aaron Fox,San Antonio Spurs,2.9,0.7,3.6,0.09,68,55,71,73,61,75,4%,,,,,,,,,
Bam Adebayo,Miami Heat,1.5,2.0,3.5,0.58,54,79,71,62,82,75,29%,,,,,,,,,
Scottie Barnes,Toronto Raptors,1.4,2.1,3.5,0.16,54,80,70,61,83,74,8%,,,,,,,,,
Austin Reaves,Los Angeles Lakers,3.0,0.4,3.4,0.27,68,50,70,74,57,74,14%,,,,,,,,,
Karl-Anthony Towns,New York Knicks,3.3,0.1,3.4,0.58,72,43,70,76,51,74,29%,,,,,,,,,
Donovan Clingan,Portland Trail Blazers,1.9,1.4,3.4,0.20,59,68,69,66,73,74,10%,,,,,,,,,
Pascal Siakam,Indiana Pacers,2.5,0.7,3.2,0.08,64,56,68,70,62,73,4%,,,,,,,,,
Jalen Brunson,New York Knicks,4.5,-1.3,3.2,0.05,83,18,68,86,21,73,3%,,,,,,,,,
Desmond Bane,Orlando Magic,3.1,0.1,3.2,0.35,70,44,68,75,52,72,18%,,,,,,,,,
Ty Jerome,Memphis Grizzlies,3.6,-0.5,3.2,0.62,75,33,68,79,40,72,31%,,,,,,,,,
Payton Pritchard,Boston Celtics,3.4,-0.3,3.1,0.35,73,36,67,78,42,72,17%,,,,,,,,,
Ajay Mitchell,Oklahoma City Thunder,0.8,2.3,3.0,0.20,47,84,67,56,86,71,10%,,,,,,,,,
Kevin Durant,Houston Rockets,3.4,-0.5,2.9,0.42,73,32,66,78,38,70,21%,,,,,,,,,
Cason Wallace,Oklahoma City Thunder,0.1,2.8,2.9,0.35,41,93,65,51,94,70,17%,,,,,,,,,
Alex Caruso,Oklahoma City Thunder,-0.7,3.5,2.8,0.52,33,107,65,42,106,70,26%,,,,,,,,,
Aaron Gordon,Denver Nuggets,1.8,1.0,2.8,0.41,57,61,65,64,66,70,20%,,,,,,,,,
Miles McBride,New York Knicks,1.5,1.3,2.7,0.31,54,65,64,62,70,69,16%,,,,,,,,,
Mitchell Robinson,New York Knicks,1.2,1.5,2.7,0.78,51,70,64,59,74,69,39%,,,,,,,,,
Ja Morant,Memphis Grizzlies,2.4,0.2,2.7,0.41,64,46,64,70,54,69,20%,,,,,,,,,
Jrue Holiday,Portland Trail Blazers,1.5,1.2,2.7,0.12,54,64,64,62,69,69,6%,,,,,,,,,
Rudy Gobert,Minnesota Timberwolves,-0.3,3.0,2.7,0.18,37,97,64,46,97,69,9%,,,,,,,,,
Jalen Williams,Oklahoma City Thunder,1.7,1.0,2.7,0.51,56,60,64,63,66,69,26%,,,,,,,,,
Sam Merrill,Cleveland Cavaliers,2.2,0.4,2.6,0.44,61,49,63,68,57,69,22%,,,,,,,,,
Brandon Miller,Charlotte Hornets,1.3,1.3,2.6,1.08,52,66,63,60,71,68,54%,,,,,,,,,
Moussa Diabate,Charlotte Hornets,1.7,0.9,2.6,0.62,57,58,63,64,64,68,31%,,,,,,,,,
Isaiah Joe,Oklahoma City Thunder,1.7,0.8,2.5,0.32,57,56,63,64,62,68,16%,,,,,,,,,
Michael Porter Jr.,Brooklyn Nets,3.7,-1.2,2.5,0.21,76,19,62,80,23,67,11%,,,,,,,,,
Jamal Murray,Denver Nuggets,4.3,-1.9,2.4,0.13,82,7,62,85,9,67,7%,,,,,,,,,
Paul Reed,Detroit Pistons,0.3,2.1,2.4,0.53,43,81,62,52,84,67,26%,,,,,,,,,
Jalen Suggs,Orlando Magic,-0.4,2.8,2.4,0.58,37,93,62,46,94,67,29%,,,,,,,,,
Anthony Edwards,Minnesota Timberwolves,2.7,-0.3,2.4,0.59,66,36,62,72,43,67,29%,,,,,,,,,
Dylan Harper,San Antonio Spurs,0.6,1.8,2.4,0.41,46,74,61,55,78,67,21%,,,,,,,,,
OG Anunoby,New York Knicks,0.9,1.5,2.4,0.25,49,70,61,57,74,67,13%,,,,,,,,,
Stephon Castle,San Antonio Spurs,1.5,0.9,2.4,0.70,54,59,61,62,65,67,35%,,,,,,,,,
Collin Gillespie,Phoenix Suns,1.3,1.1,2.4,0.74,52,62,61,60,67,67,37%,,,,,,,,,
Tobias Harris,Detroit Pistons,1.1,1.2,2.3,0.52,51,64,61,59,69,66,26%,,,,,,,,,
Immanuel Quickley,Toronto Raptors,2.1,0.2,2.3,0.13,60,46,61,67,54,66,7%,,,,,,,,,
Cameron Johnson,Denver Nuggets,2.3,0.0,2.3,0.23,63,41,61,69,49,66,12%,,,,,,,,,
Mikal Bridges,New York Knicks,1.5,0.7,2.3,0.30,55,56,61,62,62,66,15%,,,,,,,,,
Zach Edey,Memphis Grizzlies,0.3,2.0,2.3,0.58,43,78,60,52,81,66,29%,,,,,,,,,
Moses Moody,Golden State Warriors,0.5,1.8,2.3,0.42,45,74,60,54,78,66,21%,,,,,,,,,
Sam Hauser,Boston Celtics,2.0,0.2,2.2,0.39,60,45,60,66,53,66,19%,,,,,,,,,
Deni Avdija,Portland Trail Blazers,2.8,-0.6,2.2,0.79,67,30,60,73,36,65,39%,,,,,,,,,
Darius Garland,Los Angeles Clippers,2.9,-0.8,2.2,0.19,68,28,60,74,33,65,9%,,,,,,,,,
James Harden,Cleveland Cavaliers,3.6,-1.4,2.2,0.25,74,16,60,79,19,65,13%,,,,,,,,,
Sandro Mamukelashvili,Toronto Raptors,1.4,0.7,2.1,0.28,54,54,59,62,61,65,14%,,,,,,,,,
Luke Kornet,San Antonio Spurs,0.7,1.4,2.1,0.41,47,67,59,56,72,65,20%,,,,,,,,,
Anthony Davis,Washington Wizards,1.1,0.9,2.1,0.19,51,59,59,59,65,65,9%,,,,,,,,,
Kristaps Porzingis,Golden State Warriors,1.8,0.3,2.1,0.31,57,47,59,64,55,64,15%,,,,,,,,,
Trae Young,Washington Wizards,4.5,-2.4,2.0,0.05,83,-3,59,86,-3,64,3%,,,,,,,,,
Coby White,Charlotte Hornets,2.7,-0.7,2.0,0.34,66,28,58,72,33,64,17%,,,,,,,,,
Grayson Allen,Phoenix Suns,2.7,-0.7,2.0,0.24,66,28,58,72,34,64,12%,,,,,,,,,
Zion Williamson,New Orleans Pelicans,1.9,0.0,1.9,0.70,58,42,58,65,50,64,35%,,,,,,,,,
Day'Ron Sharpe,Brooklyn Nets,0.2,1.8,1.9,0.36,42,75,58,51,78,64,18%,,,,,,,,,
Jalen Johnson,Atlanta Hawks,1.1,0.8,1.9,0.89,51,56,57,59,62,63,45%,,,,,,,,,
Julian Champagnie,San Antonio Spurs,1.3,0.5,1.8,0.17,53,51,57,60,58,63,8%,,,,,,,,,
Toumani Camara,Portland Trail Blazers,0.4,1.4,1.8,0.15,44,67,56,53,72,62,8%,,,,,,,,,
LeBron James,Los Angeles Lakers,2.1,-0.3,1.8,0.31,60,36,56,67,43,62,15%,,,,,,,,,
Brandin Podziemski,Golden State Warriors,0.1,1.6,1.8,0.40,41,72,56,51,76,62,20%,,,,,,,,,
Duncan Robinson,Detroit Pistons,1.8,0.0,1.7,0.34,57,41,56,64,50,62,17%,,,,,,,,,
Norman Powell,Miami Heat,1.5,0.2,1.7,0.48,54,46,56,62,54,62,24%,,,,,,,,,
Paul George,Philadelphia 76ers,0.7,1.0,1.7,0.22,47,60,56,56,65,62,11%,,,,,,,,,
Nickeil Alexander-Walker,Atlanta Hawks,1.0,0.7,1.6,0.74,50,54,55,58,60,62,37%,,,,,,,,,
Gui Santos,Golden State Warriors,1.0,0.6,1.6,0.26,50,53,55,58,60,61,13%,,,,,,,,,
Christian Braun,Denver Nuggets,0.9,0.7,1.6,0.67,49,55,55,57,61,61,34%,,,,,,,,,
Marcus Smart,Los Angeles Lakers,-0.7,2.3,1.6,0.16,34,84,55,42,86,61,8%,,,,,,,,,
Herbert Jones,New Orleans Pelicans,-0.4,2.0,1.6,0.24,36,79,55,45,82,61,12%,,,,,,,,,
Tari Eason,Houston Rockets,0.1,1.5,1.6,0.44,41,70,55,51,74,61,22%,,,,,,,,,
Collin Murray-Boyles,Toronto Raptors,0.1,1.5,1.6,0.36,41,69,55,50,74,61,18%,,,,,,,,,
Luka Garza,Boston Celtics,2.1,-0.5,1.5,0.60,60,32,55,67,38,61,30%,,,,,,,,,
Trey Murphy III,New Orleans Pelicans,2.1,-0.6,1.5,0.48,60,31,54,67,37,61,24%,,,,,,,,,
Steven Adams,Houston Rockets,0.2,1.3,1.5,0.63,42,67,54,52,71,61,32%,,,,,,,,,
Jaylin Williams,Oklahoma City Thunder,-1.2,2.8,1.5,0.32,28,93,54,35,94,61,16%,,,,,,,,,
CJ McCollum,Atlanta Hawks,1.8,-0.3,1.5,0.59,58,36,54,65,43,61,29%,,,,,,,,,
Jaren Jackson Jr.,Utah Jazz,-0.2,1.7,1.5,0.57,38,73,54,48,77,61,28%,,,,,,,,,
Jalen Smith,Chicago Bulls,1.1,0.3,1.5,0.33,51,48,54,59,55,60,16%,,,,,,,,,
Jaylen Brown,Boston Celtics,2.0,-0.5,1.4,0.52,59,32,54,66,38,60,26%,,,,,,,,,
Kevin Huerter,Detroit Pistons,0.6,0.8,1.4,0.60,46,57,53,55,63,60,30%,,,,,,,,,
Tre Jones,Chicago Bulls,1.3,0.1,1.4,0.35,52,43,53,60,51,60,18%,,,,,,,,,
Goga Bitadze,Orlando Magic,0.2,1.1,1.4,0.34,42,63,53,52,68,60,17%,,,,,,,,,
VJ Edgecombe,Philadelphia 76ers,0.8,0.5,1.3,0.44,48,52,53,56,59,59,22%,,,,,,,,,
Gary Payton II,Golden State Warriors,1.1,0.2,1.3,0.47,50,46,53,59,54,59,24%,,,,,,,,,
Jaylon Tyson,Cleveland Cavaliers,1.0,0.2,1.3,0.61,50,46,52,58,54,59,31%,,,,,,,,,
Jordan Goodwin,Phoenix Suns,-0.2,1.5,1.3,0.40,38,69,52,48,73,59,20%,,,,,,,,,
Onyeka Okongwu,Atlanta Hawks,0.5,0.8,1.3,0.10,45,56,52,54,62,59,5%,,,,,,,,,
Donte DiVincenzo,Minnesota Timberwolves,0.6,0.7,1.2,0.39,46,54,52,54,61,59,19%,,,,,,,,,
Pelle Larsson,Miami Heat,0.5,0.7,1.2,0.16,45,56,52,54,62,59,8%,,,,,,,,,
Jabari Smith Jr.,Houston Rockets,0.4,0.8,1.2,0.47,44,57,52,53,63,59,23%,,,,,,,,,
Dereck Lively II,Dallas Mavericks,-0.1,1.3,1.2,0.14,39,65,52,49,70,58,7%,,,,,,,,,
Domantas Sabonis,Sacramento Kings,1.4,-0.3,1.1,0.71,54,36,51,62,43,58,36%,,,,,,,,,
Jaden McDaniels,Minnesota Timberwolves,0.0,1.1,1.1,0.64,40,62,51,50,67,58,32%,,,,,,,,,
Alperen Sengun,Houston Rockets,1.3,-0.2,1.1,0.54,52,38,51,60,45,58,27%,,,,,,,,,
Dean Wade,Cleveland Cavaliers,-0.3,1.3,1.1,0.31,37,67,51,47,71,58,16%,,,,,,,,,
Obi Toppin,Indiana Pacers,1.9,-0.9,1.1,0.27,59,25,51,66,30,57,14%,,,,,,,,,
Cooper Flagg,Dallas Mavericks,0.5,0.5,1.0,0.94,45,51,50,54,58,57,47%,,,,,,,,,
Oso Ighodaro,Phoenix Suns,-0.6,1.6,1.0,0.46,34,72,50,43,76,57,23%,,,,,,,,,
Ivica Zubac,Indiana Pacers,0.1,0.8,1.0,0.54,41,57,50,51,63,57,27%,,,,,,,,,
Walker Kessler,Utah Jazz,-0.2,1.1,0.9,0.67,38,62,49,48,67,56,34%,,,,,,,,,
Saddiq Bey,New Orleans Pelicans,1.8,-0.9,0.9,0.50,57,25,49,64,30,56,25%,,,,,,,,,
Derrick Jones Jr.,Los Angeles Clippers,-0.3,1.1,0.9,0.38,38,63,49,47,68,56,19%,,,,,,,,,
Andrew Nembhard,Indiana Pacers,1.1,-0.2,0.9,0.37,50,38,49,58,46,56,19%,,,,,,,,,
Jakob Poeltl,Toronto Raptors,0.1,0.8,0.9,0.41,41,57,49,50,63,56,21%,,,,,,,,,
Bones Hyland,Minnesota Timberwolves,0.5,0.4,0.9,0.49,45,49,49,54,56,56,25%,,,,,,,,,
Baylor Scheierman,Boston Celtics,-0.4,1.2,0.8,0.34,36,65,49,45,70,56,17%,,,,,,,,,
Daniss Jenkins,Detroit Pistons,-0.1,1.0,0.8,0.21,39,60,49,48,65,56,11%,,,,,,,,,
Cedric Coward,Memphis Grizzlies,0.3,0.5,0.8,0.98,43,50,49,53,57,56,49%,,,,,,,,,
Robert Williams III,Portland Trail Blazers,-0.6,1.4,0.8,0.50,34,69,48,42,73,56,25%,,,,,,,,,
Clint Capela,Houston Rockets,-0.8,1.6,0.8,0.98,32,71,48,40,75,55,49%,,,,,,,,,
Devin Vassell,San Antonio Spurs,0.8,-0.1,0.7,0.88,48,40,48,57,48,55,44%,,,,,,,,,
Wendell Carter Jr.,Orlando Magic,-1.1,1.8,0.7,0.51,30,75,48,37,79,55,26%,,,,,,,,,
Josh Hart,New York Knicks,0.3,0.4,0.7,0.82,43,49,48,53,56,55,41%,,,,,,,,,
Davion Mitchell,Miami Heat,0.1,0.6,0.7,0.56,41,52,48,51,59,55,28%,,,,,,,,,
Julius Randle,Minnesota Timberwolves,1.4,-0.8,0.7,0.68,54,27,47,61,33,55,34%,,,,,,,,,
Jaylen Clark,Minnesota Timberwolves,-0.5,1.1,0.6,0.81,35,63,47,44,68,55,41%,,,,,,,,,
De'Anthony Melton,Golden State Warriors,-0.1,0.7,0.6,0.50,39,55,47,49,61,54,25%,,,,,,,,,
Keldon Johnson,San Antonio Spurs,0.7,-0.1,0.6,0.65,47,40,47,56,48,54,33%,,,,,,,,,
Daniel Gafford,Dallas Mavericks,0.4,0.2,0.6,0.62,44,46,47,53,53,54,31%,,,,,,,,,
Aaron Nesmith,Indiana Pacers,0.7,-0.2,0.6,0.27,47,39,47,56,46,54,13%,,,,,,,,,
Naz Reid,Minnesota Timberwolves,-0.7,1.3,0.6,0.19,34,65,47,42,70,54,9%,,,,,,,,,
RJ Barrett,Toronto Raptors,1.2,-0.7,0.6,0.66,52,29,46,60,35,54,33%,,,,,,,,,
Javonte Green,Detroit Pistons,-0.9,1.4,0.6,0.16,32,68,46,40,72,54,8%,,,,,,,,,
Paolo Banchero,Orlando Magic,0.8,-0.3,0.5,0.80,47,37,46,56,44,54,40%,,,,,,,,,
Ronald Holland II,Detroit Pistons,-2.0,2.5,0.5,0.21,21,88,46,26,90,54,10%,,,,,,,,,
Keegan Murray,Sacramento Kings,-0.5,1.0,0.5,0.27,36,59,46,44,65,53,13%,,,,,,,,,
AJ Green,Milwaukee Bucks,0.7,-0.3,0.4,0.62,47,37,46,56,44,53,31%,,,,,,,,,
Sion James,Charlotte Hornets,-1.2,1.6,0.4,0.52,29,72,45,36,76,53,26%,,,,,,,,,
Mouhamed Gueye,Atlanta Hawks,-1.3,1.8,0.4,0.20,27,74,45,34,78,53,10%,,,,,,,,,
Jonathan Isaac,Orlando Magic,-1.8,2.2,0.4,0.57,23,82,45,29,85,53,29%,,,,,,,,,
Ryan Rollins,Milwaukee Bucks,0.0,0.4,0.4,1.20,40,49,45,50,56,53,60%,,,,,,,,,
Brandon Clarke,Memphis Grizzlies,-0.2,0.6,0.4,0.59,38,52,45,48,59,53,29%,,,,,,,,,
Ryan Dunn,Phoenix Suns,-0.8,1.1,0.4,1.04,33,63,45,41,68,53,52%,,,,,,,,,
Jose Alvarado,New York Knicks,-0.5,0.8,0.4,0.69,36,57,45,44,63,52,34%,,,,,,,,,
Kevin Porter Jr.,Milwaukee Bucks,-0.5,0.9,0.3,1.30,35,58,45,44,64,52,65%,,,,,,,,,
Jaylen Wells,Memphis Grizzlies,0.8,-0.4,0.3,0.33,48,34,45,56,40,52,16%,,,,,,,,,
Jamal Shead,Toronto Raptors,-0.9,1.2,0.3,0.45,32,64,45,40,69,52,22%,,,,,,,,,
Dillon Brooks,Phoenix Suns,0.0,0.4,0.3,0.61,40,48,45,50,56,52,30%,,,,,,,,,
Scotty Pippen Jr.,Memphis Grizzlies,-0.5,0.8,0.3,0.57,35,57,45,44,63,52,28%,,,,,,,,,
Anthony Black,Orlando Magic,-0.7,1.0,0.3,0.41,33,61,45,42,66,52,21%,,,,,,,,,
Landry Shamet,New York Knicks,-0.6,0.9,0.3,0.48,34,59,44,43,64,52,24%,,,,,,,,,
Hugo Gonzalez,Boston Celtics,-1.5,1.8,0.3,0.44,26,76,44,32,79,52,22%,,,,,,,,,
Josh Okogie,Houston Rockets,-0.7,1.0,0.3,0.82,34,60,44,42,66,52,41%,,,,,,,,,
Keon Ellis,Cleveland Cavaliers,-0.6,0.9,0.3,0.63,34,58,44,43,64,52,32%,,,,,,,,,
Jusuf Nurkic,Utah Jazz,-1.3,1.6,0.3,0.14,28,71,44,34,75,52,7%,,,,,,,,,
Cam Spencer,Memphis Grizzlies,1.0,-0.7,0.3,0.52,50,28,44,58,34,52,26%,,,,,,,,,
Tyler Herro,Miami Heat,1.3,-1.1,0.2,0.66,53,22,44,61,26,52,33%,,,,,,,,,
Naji Marshall,Dallas Mavericks,0.0,0.2,0.2,0.79,40,46,44,50,53,52,40%,,,,,,,,,
Kris Dunn,Los Angeles Clippers,-1.4,1.6,0.2,0.21,27,71,44,33,75,51,11%,,,,,,,,,
Jonathan Kuminga,Atlanta Hawks,-1.2,1.4,0.2,0.25,29,67,43,36,72,51,12%,,,,,,,,,
Leonard Miller,Chicago Bulls,0.4,-0.2,0.2,0.36,44,38,43,53,46,51,18%,,,,,,,,,
Quinten Post,Golden State Warriors,-0.6,0.7,0.1,0.81,35,54,43,43,61,51,40%,,,,,,,,,
Max Strus,Cleveland Cavaliers,0.5,-0.4,0.1,0.27,45,35,43,54,42,51,13%,,,,,,,,,
Myron Gardner,Miami Heat,-0.2,0.3,0.1,0.56,39,47,43,48,54,51,28%,,,,,,,,,
Dru Smith,Miami Heat,-1.7,1.8,0.1,0.52,24,75,43,30,78,51,26%,,,,,,,,,
D'Angelo Russell,Washington Wizards,0.2,-0.1,0.1,0.84,42,39,42,51,47,50,42%,,,,,,,,,
Ja'Kobe Walter,Toronto Raptors,-0.8,0.8,0.0,0.51,32,57,42,40,63,50,26%,,,,,,,,,
Tyrese Proctor,Cleveland Cavaliers,0.1,-0.1,0.0,0.59,41,40,42,51,48,50,29%,,,,,,,,,
Dejounte Murray,New Orleans Pelicans,0.5,-0.5,0.0,0.89,45,33,42,54,40,50,44%,,,,,,,,,
Kel'el Ware,Miami Heat,-0.1,0.1,0.0,0.79,39,43,42,49,51,50,39%,,,,,,,,,
Kasparas Jakucionis,Miami Heat,0.0,0.0,0.0,0.64,40,42,42,50,51,50,32%,,,,,,,,,
Ron Harper Jr.,Boston Celtics,0.1,-0.1,0.0,0.48,41,40,42,51,48,50,24%,,,,,,,,,
Dominick Barlow,Philadelphia 76ers,-1.3,1.3,0.0,0.60,28,65,42,35,70,50,30%,,,,,,,,,
Devin Carter,Sacramento Kings,0.2,-0.3,0.0,0.52,42,37,42,52,44,50,26%,,,,,,,,,
Jordan Walsh,Boston Celtics,-0.9,0.8,-0.1,0.49,32,57,41,40,63,49,24%,,,,,,,,,
Santi Aldama,Memphis Grizzlies,0.3,-0.4,-0.1,0.29,43,35,41,52,42,49,15%,,,,,,,,,
Lonzo Ball,Utah Jazz,-1.5,1.4,-0.1,0.56,26,68,41,32,72,49,28%,,,,,,,,,
Simone Fontecchio,Miami Heat,0.1,-0.2,-0.1,0.45,41,39,41,51,46,49,23%,,,,,,,,,
Kevon Looney,New Orleans Pelicans,-0.5,0.4,-0.1,0.61,35,50,41,43,57,49,31%,,,,,,,,,
Grant Williams,Charlotte Hornets,-0.7,0.6,-0.1,0.43,33,53,41,41,60,49,22%,,,,,,,,,
Josh Green,Charlotte Hornets,-1.0,0.9,-0.2,0.55,30,58,41,38,64,48,27%,,,,,,,,,
Elijah Harkless,Utah Jazz,-0.6,0.4,-0.2,0.25,34,50,41,43,57,48,13%,,,,,,,,,
Nae'Qwan Tomlin,Cleveland Cavaliers,-0.5,0.4,-0.2,0.86,35,49,41,43,56,48,43%,,,,,,,,,
Josh Giddey,Chicago Bulls,0.5,-0.6,-0.2,0.77,44,30,41,54,36,48,39%,,,,,,,,,
Quenton Jackson,Indiana Pacers,-0.4,0.2,-0.2,0.39,37,45,40,46,53,48,19%,,,,,,,,,
Jaxson Hayes,Los Angeles Lakers,-0.5,0.3,-0.2,0.30,36,47,40,44,54,48,15%,,,,,,,,,
Javon Small,Memphis Grizzlies,0.2,-0.4,-0.2,0.36,42,35,40,51,42,48,18%,,,,,,,,,
Miles Bridges,Charlotte Hornets,0.4,-0.6,-0.3,0.65,44,30,40,53,36,47,32%,,,,,,,,,
Chris Boucher,Utah Jazz,0.4,-0.7,-0.3,0.30,44,30,40,53,35,47,15%,,,,,,,,,
Rasheer Fleming,Phoenix Suns,-1.0,0.7,-0.3,0.25,30,55,40,38,61,47,12%,,,,,,,,,
Quentin Grimes,Philadelphia 76ers,-0.4,0.1,-0.3,0.79,36,44,39,45,52,47,39%,,,,,,,,,
Justin Champagnie,Washington Wizards,0.3,-0.6,-0.3,0.49,43,30,39,53,36,47,25%,,,,,,,,,
Vince Williams Jr.,Utah Jazz,-1.0,0.7,-0.3,0.34,31,54,39,38,61,47,17%,,,,,,,,,
Aaron Wiggins,Oklahoma City Thunder,-0.6,0.2,-0.3,0.34,35,46,39,43,54,47,17%,,,,,,,,,
Kyle Filipowski,Utah Jazz,0.4,-0.7,-0.3,0.78,44,29,39,53,35,47,39%,,,,,,,,,
Egor Demin,Brooklyn Nets,-0.8,0.5,-0.3,0.77,32,51,39,40,58,47,39%,,,,,,,,,
Brook Lopez,Los Angeles Clippers,-0.9,0.5,-0.4,0.19,32,51,39,40,58,47,9%,,,,,,,,,
Luguentz Dort,Oklahoma City Thunder,-0.6,0.2,-0.4,0.58,35,46,39,43,53,46,29%,,,,,,,,,
Moritz Wagner,Orlando Magic,0.1,-0.5,-0.4,0.61,41,33,39,51,40,46,31%,,,,,,,,,
Jalen Green,Phoenix Suns,-0.2,-0.2,-0.4,1.19,38,38,39,48,46,46,60%,,,,,,,,,
John Konchar,Utah Jazz,-1.6,1.1,-0.4,0.63,25,63,38,31,68,46,32%,,,,,,,,,
Anfernee Simons,Chicago Bulls,0.9,-1.3,-0.4,0.19,49,17,38,57,20,46,10%,,,,,,,,,
Matas Buzelis,Chicago Bulls,-0.1,-0.4,-0.4,0.60,39,35,38,49,42,46,30%,,,,,,,,,
P.J. Washington,Dallas Mavericks,-1.0,0.6,-0.5,0.81,30,52,38,38,59,45,40%,,,,,,,,,
Malik Monk,Sacramento Kings,0.7,-1.1,-0.5,0.36,47,21,38,55,25,45,18%,,,,,,,,,
Svi Mykhailiuk,Utah Jazz,0.0,-0.4,-0.5,0.33,40,34,38,50,40,45,17%,,,,,,,,,
Jock Landale,Atlanta Hawks,0.7,-1.2,-0.5,0.50,47,19,38,56,23,45,25%,,,,,,,,,
Aaron Holiday,Houston Rockets,-1.4,1.0,-0.5,0.31,26,59,38,33,65,45,15%,,,,,,,,,
Kris Murray,Portland Trail Blazers,-2.2,1.7,-0.5,0.41,19,74,38,23,77,45,21%,,,,,,,,,
Josh Minott,Brooklyn Nets,-1.2,0.7,-0.5,0.52,29,54,38,36,61,45,26%,,,,,,,,,
